AGCnr,HIMANGA,ALFALFA,SPRINGOB,radeg,decdeg,hiflux,width,widtherr,snr,D,vhelagc,vhelio,vopt,v21,Ty,a,b,b/a,zmag,rms,hisrc,logMH,logMH_Limit,Type
7732,0,1,0,188.612915,2.1875,77.54,325,2,99.9,15.42,1804,1378.27,1808,1804,4.3,7,2.8,0.4,12.3,3.4,75,9.638606547,0,Archival
7884,0,1,0,190.718338,13.256667,19,280,2,99.9,23.33,977,1400.69,983,977,3.6,3.2,2.2,0.6875,12.4,2.3,75,9.387495082,0,Archival
8041,0,1,1,193.802917,0.116111,22,186,2,99.9,18.49354481,1323,,1330,1323,,3.7,2.2,0.5945945946,13.6,2.9,75,9.249375012,0,Archival
8255,0,1,1,197.735428,11.476666,9.21,191,1,63.6,38.19,3365,3364.57,3399,3365,5.8,1.7,1.2,0.7058823529,14.4,2.3,75,9.50107095,0,Archival
8488,0,1,1,202.509583,13.415833,4.54,596,11,15.9,100,7363,7366.26,7384,7363,3,1.9,0.7,0.3684210526,14.7,2.5,75,10.02996786,0,Archival
8559,0,1,0,203.73291,13.832222,4.88,572,23,11.2,101.39,7025,6798.48,7007,7025,2.9,3,0.7,0.2333333333,14.5,2.3,75,10.07332207,0,Archival
8612,0,1,0,204.37291,4.103889,1.24,134,7,11.1,88.72,6939,6884.44,6920,6939,3.1,1,0.8,0.8,14.8,2.2,75,9.362376754,0,Archival
8686,0,1,0,205.917084,3.895833,4.68,438,4,21.1,97.27,6966,6968.18,6849,6966,5,1.4,0.35,0.25,15,2.3,75,10.01911569,0,Archival
9247,0,1,1,216.573334,26.246111,2.15,408,3,10.9,137.4,9073,9062.36,9015,9073,4.2,1.1,0.6,0.5454545455,15.5,2.2,75,9.981323928,0,Archival
9353,0,1,1,218.18251,9.891389,38.09,194,2,99.9,22.15608068,1368,,1371,1368,,4.5,3.3,0.7333333333,13.2,1.9,75,9.644708851,0,Archival
